,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
128,-0.8074,Wed Dec 27 08:11:30 +0000 2017,0.622,0.378,0.0,New York City on pace to record lowest murder tally in decades https://t.co/WUjQhZwZNs https://t.co/6f6tb1nGDz,29,CNN
129,-0.7506,Wed Dec 27 08:00:09 +0000 2017,0.697,0.303,0.0,Mattel is struggling. Hasbro has fallen from its highs. Even the mighty Lego posted a recent drop in sales. Here's… https://t.co/iIvrzGTYGU,30,CNN
130,-0.5859,Wed Dec 27 07:49:29 +0000 2017,0.789,0.211,0.0,An iconic tree on the White House grounds is scheduled to be cut down after years of decay https://t.co/WHWgid3rge https://t.co/iqXvUvVCZy,31,CNN
131,0.0,Wed Dec 27 07:30:38 +0000 2017,1.0,0.0,0.0,President Trump has spent nearly one-third of his presidency at a Trump property https://t.co/hldBzehswW https://t.co/gcRNgsdXK3,32,CNN
132,0.0,Wed Dec 27 07:23:23 +0000 2017,1.0,0.0,0.0,"Even for a place that gets a ton of snow, this was a record-breaking two days for Erie, Pennsylvania… https://t.co/coVqF3IGje",33,CNN
133,0.0,Wed Dec 27 07:10:18 +0000 2017,1.0,0.0,0.0,Authorities are investigating the deaths of four people after the bodies were found in a basement apartment in New… https://t.co/ahEeTygkyc,34,CNN
134,-0.5106,Wed Dec 27 06:58:41 +0000 2017,0.68,0.32,0.0,Investors think the iPhone X is a disappointment https://t.co/Oy36ZJArBD https://t.co/khPvNHnXdv,35,CNN
135,0.802,Wed Dec 27 06:46:56 +0000 2017,0.676,0.0,0.324,"If inspiration is the first step in travel, the journey starts with these amazing travel photos… https://t.co/GFzWwCOKsX",36,CNN
136,-0.3182,Wed Dec 27 06:35:05 +0000 2017,0.892,0.108,0.0,"US President Trump, looking ahead to a critical election year where his record will be on the ballot alongside Repu… https://t.co/7E79zBDKlR",37,CNN
137,0.4019,Wed Dec 27 06:23:30 +0000 2017,0.755,0.069,0.176,US Ambassador to the United Nations Nikki Haley touts reduced UN budget https://t.co/VndBaK3Osg https://t.co/AT9oRTDYIm,38,CNN
138,0.0,Wed Dec 27 06:09:59 +0000 2017,1.0,0.0,0.0,The 10 health questions that had you Googling this year https://t.co/PxdjCdbDwr https://t.co/ZbZBw8wZGX,39,CNN
139,0.0,Wed Dec 27 05:58:38 +0000 2017,1.0,0.0,0.0,Meet the first woman to climb Mount Everest twice in 5 days https://t.co/C8iA7JUHwT https://t.co/Ofxa17SmFa,40,CNN
